DATE,ORG_CODE,GRADE_SORT_ORDER,GRADE,SPECIALITY_GROUP,SPECIALTY,FTE
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Cardio-thoracic surgery,8.1
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,General surgery,39.6
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Neurosurgery,16.50909
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,22.65
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,4.40909
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Paediatric surgery,5
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,31.80909
30/09/2017,RJZ,1,Consultant (including Directors of Public Health),Surgical group,Urology,9.84545
30/09/2017,RJZ,2,Associate Specialist,Anaesthetics,Anaesthetics,4.2
30/09/2017,RJZ,2,Associate Specialist,Dental group,Oral Surgery,1.8
30/09/2017,RTH,5,Specialty Registrar,Anaesthetics,Anaesthetics,55.92
30/09/2017,RTH,5,Specialty Registrar,Anaesthetics,Intensive care medicine,18.36
30/09/2017,RTH,5,Specialty Registrar,Clinical oncology,Clinical oncology,10
30/09/2017,RTH,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,9
30/09/2017,RTH,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,31.7875
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Cardiology,11
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Clinical genetics,3.4
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Dermatology,9.7
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,7
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Gastroenterology,7.8
30/09/2017,RTH,5,Specialty Registrar,General medicine group,General (internal) medicine,23.86875
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Genito-urinary medicine,4.8
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Geriatric medicine,16.2875
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Infectious diseases,14.6
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Medical oncology,5
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Neurology,10.85
30/09/2017,RCU,4,Staff Grade,Surgical group,Trauma and orthopaedic surgery,0.3
30/09/2017,RCU,5,Specialty Registrar,Anaesthetics,Anaesthetics,7.6
30/09/2017,RCU,5,Specialty Registrar,Anaesthetics,Intensive care medicine,16.95
30/09/2017,RCU,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,9.7
30/09/2017,RCU,5,Specialty Registrar,General medicine group,Clinical genetics,2
30/09/2017,RCU,5,Specialty Registrar,General medicine group,Gastroenterology,1
30/09/2017,RCU,5,Specialty Registrar,General medicine group,Infectious diseases,0.5
30/09/2017,RCU,5,Specialty Registrar,General medicine group,Medical oncology,1.2
30/09/2017,RCU,5,Specialty Registrar,General medicine group,Respiratory medicine,1
30/09/2017,RCU,5,Specialty Registrar,Paediatric group,Paediatrics,66.7
30/09/2017,RCU,5,Specialty Registrar,Radiology group,Clinical radiology,3.6
30/09/2017,RCU,5,Specialty Registrar,Surgical group,Paediatric surgery,11.5
30/09/2017,RCU,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,6
30/09/2017,RCU,6,Core Training,Emergency Medicine,Emergency Medicine,2
30/09/2017,RCU,6,Core Training,Surgical group,Paediatric surgery,4
30/09/2017,RCU,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,1
30/09/2017,RJZ,2,Associate Specialist,Dental group,Orthodontics,0.2
30/09/2017,RJZ,2,Associate Specialist,Dental group,Periodontics,0.8
30/09/2017,RJZ,2,Associate Specialist,Emergency Medicine,Emergency Medicine,1.85
30/09/2017,RJZ,2,Associate Specialist,General medicine group,Genito-urinary medicine,2
30/09/2017,RJZ,2,Associate Specialist,General medicine group,Neurology,0.125
30/09/2017,RJZ,2,Associate Specialist,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RJZ,2,Associate Specialist,Pathology group,Chemical pathology,1
30/09/2017,RJZ,2,Associate Specialist,PHM & CHS group,Community Health Service Medical,1
30/09/2017,RJZ,2,Associate Specialist,Surgical group,General surgery,2
30/09/2017,RJZ,2,Associate Specialist,Surgical group,Neurosurgery,1
30/09/2017,RJZ,2,Associate Specialist,Surgical group,Ophthalmology,5.36364
30/09/2017,RJZ,2,Associate Specialist,Surgical group,Otolaryngology,1.1
30/09/2017,RJZ,2,Associate Specialist,Surgical group,Trauma and orthopaedic surgery,5
30/09/2017,RJZ,2,Associate Specialist,Surgical group,Urology,1
30/09/2017,RJZ,3,Specialty Doctor,Anaesthetics,Anaesthetics,7.7
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Additional dental specialties,2.6
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Oral Medicine,0.4
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Palliative medicine,5.8
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Rehabilitation medicine,3
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Renal medicine,14.825
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Respiratory medicine,9.8
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Rheumatology,6
30/09/2017,RTH,5,Specialty Registrar,General medicine group,Sport and Exercise Medicine,3
30/09/2017,RTH,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,36.8
30/09/2017,RTH,5,Specialty Registrar,Paediatric group,Paediatric cardiology,2
30/09/2017,RTH,5,Specialty Registrar,Paediatric group,Paediatrics,76.19
30/09/2017,RTH,5,Specialty Registrar,Pathology group,Chemical pathology,5
30/09/2017,RTH,5,Specialty Registrar,Pathology group,Diagnostic Neuropathology,1
30/09/2017,RTH,5,Specialty Registrar,Pathology group,Haematology,18.7
30/09/2017,RTH,5,Specialty Registrar,Pathology group,Histopathology,4.4
30/09/2017,RTH,5,Specialty Registrar,Pathology group,Immunology,2.6
30/09/2017,RTH,5,Specialty Registrar,PHM & CHS group,Community Health Service Medical,0.6
30/09/2017,RTH,5,Specialty Registrar,Psychiatry group,General psychiatry,1.8
30/09/2017,RTH,5,Specialty Registrar,Psychiatry group,Psychotherapy,1
30/09/2017,RCU,7,Foundation Doctor Year 2,Surgical group,Paediatric surgery,1
30/09/2017,RCU,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,2
30/09/2017,RCU,8,Foundation Doctor Year 1,Surgical group,Paediatric surgery,2
30/09/2017,RCU,9,Hospital Practitioner / Clinical Assistant,Emergency Medicine,Emergency Medicine,0.08364
30/09/2017,RCU,10,Other and Local HCHS Doctor Grades,Paediatric group,Paediatrics,0.47273
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,19.8667
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,0.7
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,0.5
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,12.6439
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Acute Internal Medicine,4.5
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,5
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,2
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Endocrinology and diabetes mellitus,3.9
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Gastroenterology,6
30/09/2017,RTH,5,Specialty Registrar,Radiology group,Clinical radiology,41.2
30/09/2017,RTH,5,Specialty Registrar,Radiology group,Nuclear medicine,5
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Cardio-thoracic surgery,14
30/09/2017,RTH,5,Specialty Registrar,Surgical group,General surgery,29
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Neurosurgery,15
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Ophthalmology,20.2
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Otolaryngology,12.65
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Paediatric surgery,8.7
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Plastic surgery,16
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,33.5
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Urology,7.7
30/09/2017,RTH,5,Specialty Registrar,Surgical group,Vascular Surgery,4.6
30/09/2017,RTH,6,Core Training,Anaesthetics,Anaesthetics,4
30/09/2017,RTH,6,Core Training,Clinical oncology,Clinical oncology,1
30/09/2017,RTH,6,Core Training,Dental group,Oral and maxillo-facial surgery,3
30/09/2017,RTH,6,Core Training,Dental group,Oral Surgery,0.8
30/09/2017,RTH,6,Core Training,Emergency Medicine,Emergency Medicine,17
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,6
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Respiratory medicine,4.5
30/09/2017,RFF,1,Consultant (including Directors of Public Health),General medicine group,Rheumatology,2.775
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Obstetrics & gynaecology,Obstetrics and Gynaecology,8.95
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,13
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Pathology group,Chemical pathology,1
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Pathology group,Haematology,3
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Pathology group,Histopathology,4.4
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Pathology group,Medical microbiology,2
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Radiology group,Clinical radiology,7
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Surgical group,General surgery,9.3844
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Surgical group,Ophthalmology,5
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Surgical group,Otolaryngology,3
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Surgical group,Trauma and orthopaedic surgery,9
30/09/2017,RTH,6,Core Training,General medicine group,Cardiology,4
30/09/2017,RTH,6,Core Training,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RTH,6,Core Training,General medicine group,Gastroenterology,4
30/09/2017,RTH,6,Core Training,General medicine group,General (internal) medicine,5
30/09/2017,RTH,6,Core Training,General medicine group,Geriatric medicine,0.4
30/09/2017,RTH,6,Core Training,General medicine group,Infectious diseases,3
30/09/2017,RTH,6,Core Training,General medicine group,Medical oncology,1
30/09/2017,RTH,6,Core Training,General medicine group,Neurology,5
30/09/2017,RTH,6,Core Training,General medicine group,Other,1
30/09/2017,RTH,6,Core Training,General medicine group,Renal medicine,4
30/09/2017,RTH,6,Core Training,General medicine group,Respiratory medicine,4
30/09/2017,RTH,6,Core Training,General medicine group,Rheumatology,1
30/09/2017,RTH,6,Core Training,Pathology group,Haematology,2
30/09/2017,RTH,6,Core Training,Psychiatry group,General psychiatry,1
30/09/2017,RTH,6,Core Training,Surgical group,General surgery,5
30/09/2017,RTH,6,Core Training,Surgical group,Neurosurgery,1
30/09/2017,RTH,6,Core Training,Surgical group,Otolaryngology,1
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Oral Surgery,17.2
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Orthodontics,0.4
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Paediatric dentistry,2.2
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Restorative dentistry,1.95
30/09/2017,RJZ,3,Specialty Doctor,Dental group,Special Care Dentistry,0.4
30/09/2017,RJZ,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,8.5
30/09/2017,RJZ,3,Specialty Doctor,General medicine group,Cardiology,1
30/09/2017,RJZ,3,Specialty Doctor,General medicine group,Dermatology,0.025
30/09/2017,RJZ,3,Specialty Doctor,General medicine group,Genito-urinary medicine,8.969
30/09/2017,RJZ,3,Specialty Doctor,General medicine group,Geriatric medicine,0.65
30/09/2017,RJZ,3,Specialty Doctor,General medicine group,Neurology,0.08
30/09/2017,RJZ,3,Specialty Doctor,General medicine group,Renal medicine,1
30/09/2017,RJZ,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,2.5
30/09/2017,RJZ,3,Specialty Doctor,Paediatric group,Paediatrics,1
30/09/2017,RJZ,3,Specialty Doctor,Radiology group,Clinical radiology,1.4
30/09/2017,RJZ,3,Specialty Doctor,Surgical group,Neurosurgery,1
30/09/2017,RJZ,3,Specialty Doctor,Surgical group,Ophthalmology,5.9
30/09/2017,RJZ,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,2.625
30/09/2017,RTH,6,Core Training,Surgical group,Paediatric surgery,2
30/09/2017,RTH,6,Core Training,Surgical group,Plastic surgery,3
30/09/2017,RTH,6,Core Training,Surgical group,Trauma and orthopaedic surgery,3
30/09/2017,RTH,6,Core Training,Surgical group,Urology,2
30/09/2017,RTH,7,Foundation Doctor Year 2,Anaesthetics,Anaesthetics,2
30/09/2017,RTH,7,Foundation Doctor Year 2,Anaesthetics,Intensive care medicine,2
30/09/2017,RTH,7,Foundation Doctor Year 2,Clinical oncology,Clinical oncology,1
30/09/2017,RTH,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,9
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,Cardiology,4
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,General (internal) medicine,4
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,Genito-urinary medicine,1.6
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,6
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,Medical oncology,3.35
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,Neurology,2
30/09/2017,RTH,7,Foundation Doctor Year 2,General medicine group,Renal medicine,1
30/09/2017,RTH,7,Foundation Doctor Year 2,Obstetrics & gynaecology,Obstetrics and Gynaecology,4
30/09/2017,RJZ,4,Staff Grade,Dental group,Oral Surgery,0.4
30/09/2017,RJZ,4,Staff Grade,Emergency Medicine,Emergency Medicine,1
30/09/2017,RJZ,4,Staff Grade,General medicine group,Neurology,1
30/09/2017,RJZ,4,Staff Grade,Surgical group,Ophthalmology,0.2
30/09/2017,RJZ,5,Specialty Registrar,Anaesthetics,Anaesthetics,45.2
30/09/2017,RJZ,5,Specialty Registrar,Anaesthetics,Intensive care medicine,21.6
30/09/2017,RJZ,5,Specialty Registrar,Dental group,Oral and maxillo-facial surgery,5
30/09/2017,RJZ,5,Specialty Registrar,Dental group,Oral Surgery,1
30/09/2017,RJZ,5,Specialty Registrar,Dental group,Orthodontics,3
30/09/2017,RJZ,5,Specialty Registrar,Dental group,Paediatric dentistry,3
30/09/2017,RJZ,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,33.9
30/09/2017,RJZ,5,Specialty Registrar,General medicine group,Acute Internal Medicine,11.51875
30/09/2017,RJZ,5,Specialty Registrar,General medicine group,Cardiology,20
30/09/2017,RJZ,5,Specialty Registrar,General medicine group,Clinical neurophysiology,3.6
30/09/2017,RJZ,5,Specialty Registrar,General medicine group,Dermatology,3.6
30/09/2017,RJZ,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,7
30/09/2017,RJZ,5,Specialty Registrar,General medicine group,Gastroenterology,21.6
30/09/2017,RFF,1,Consultant (including Directors of Public Health),Surgical group,Urology,3
30/09/2017,RFF,2,Associate Specialist,Dental group,Oral and maxillo-facial surgery,1
30/09/2017,RFF,2,Associate Specialist,General medicine group,Rheumatology,1
30/09/2017,RFF,2,Associate Specialist,Paediatric group,Paediatrics,1
30/09/2017,RFF,3,Specialty Doctor,Anaesthetics,Anaesthetics,6.8608
30/09/2017,RFF,3,Specialty Doctor,Dental group,Oral and maxillo-facial surgery,0.2
30/09/2017,RFF,3,Specialty Doctor,Emergency Medicine,Emergency Medicine,1.15
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Acute Internal Medicine,2
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Cardiology,2
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Dermatology,1.8
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Gastroenterology,1
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Geriatric medicine,1
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Respiratory medicine,1
30/09/2017,RFF,3,Specialty Doctor,General medicine group,Rheumatology,1
30/09/2017,RFF,3,Specialty Doctor,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RFF,3,Specialty Doctor,Paediatric group,Paediatrics,1
30/09/2017,RTH,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,5
30/09/2017,RTH,7,Foundation Doctor Year 2,Pathology group,Chemical pathology,1
30/09/2017,RTH,7,Foundation Doctor Year 2,Pathology group,Haematology,2
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Cardio-thoracic surgery,6
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,General surgery,5
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Neurosurgery,6
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Ophthalmology,1
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Otolaryngology,6.44375
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Paediatric surgery,3
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Plastic surgery,4
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Trauma and orthopaedic surgery,30
30/09/2017,RTH,7,Foundation Doctor Year 2,Surgical group,Urology,1
30/09/2017,RTH,8,Foundation Doctor Year 1,Anaesthetics,Anaesthetics,5.40625
30/09/2017,RTH,8,Foundation Doctor Year 1,Clinical oncology,Clinical oncology,2
30/09/2017,RTH,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,1
30/09/2017,RTH,8,Foundation Doctor Year 1,General medicine group,Dermatology,1
30/09/2017,RTH,8,Foundation Doctor Year 1,General medicine group,Gastroenterology,1
30/09/2017,RFF,3,Specialty Doctor,Pathology group,Haematology,1
30/09/2017,RFF,3,Specialty Doctor,Surgical group,General surgery,5
30/09/2017,RFF,3,Specialty Doctor,Surgical group,Ophthalmology,1
30/09/2017,RFF,3,Specialty Doctor,Surgical group,Otolaryngology,1
30/09/2017,RFF,3,Specialty Doctor,Surgical group,Trauma and orthopaedic surgery,6
30/09/2017,RFF,5,Specialty Registrar,Anaesthetics,Anaesthetics,1
30/09/2017,RFF,5,Specialty Registrar,Emergency Medicine,Emergency Medicine,12.2
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Acute Internal Medicine,1
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Cardiology,1
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Dermatology,1
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Endocrinology and diabetes mellitus,3
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Gastroenterology,1
30/09/2017,RFF,5,Specialty Registrar,General medicine group,General (internal) medicine,0.8
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Geriatric medicine,3
30/09/2017,RFF,5,Specialty Registrar,General medicine group,Respiratory medicine,1
30/09/2017,RFF,5,Specialty Registrar,Obstetrics & gynaecology,Obstetrics and Gynaecology,11
30/09/2017,RTH,8,Foundation Doctor Year 1,General medicine group,General (internal) medicine,24
30/09/2017,RTH,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,5
30/09/2017,RTH,8,Foundation Doctor Year 1,Surgical group,General surgery,37
30/09/2017,RTH,8,Foundation Doctor Year 1,Surgical group,Plastic surgery,1
30/09/2017,RTH,8,Foundation Doctor Year 1,Surgical group,Trauma and orthopaedic surgery,3
30/09/2017,RTH,9,Hospital Practitioner / Clinical Assistant,Anaesthetics,Anaesthetics,0.45455
30/09/2017,RTH,9,Hospital Practitioner / Clinical Assistant,Emergency Medicine,Emergency Medicine,1
30/09/2017,RTH,9,Hospital Practitioner / Clinical Assistant,General medicine group,Dermatology,0.09091
30/09/2017,RTH,9,Hospital Practitioner / Clinical Assistant,General medicine group,Gastroenterology,0.09091
30/09/2017,RTH,9,Hospital Practitioner / Clinical Assistant,General medicine group,Genito-urinary medicine,0.27273
30/09/2017,RTH,10,Other and Local HCHS Doctor Grades,Surgical group,Cardio-thoracic surgery,1
30/09/2017,RWX,1,Consultant (including Directors of Public Health),General medicine group,Genito-urinary medicine,2.725
30/09/2017,RWX,1,Consultant (including Directors of Public Health),General medicine group,Geriatric medicine,1.4
30/09/2017,RWX,1,Consultant (including Directors of Public Health),Paediatric group,Paediatrics,4.85
30/09/2017,RWX,1,Consultant (including Directors of Public Health),Psychiatry group,Child and adolescent psychiatry,11.4845
30/09/2017,RFF,5,Specialty Registrar,Paediatric group,Paediatrics,14.756
30/09/2017,RFF,5,Specialty Registrar,Pathology group,Haematology,1
30/09/2017,RFF,5,Specialty Registrar,Radiology group,Clinical radiology,1
30/09/2017,RFF,5,Specialty Registrar,Surgical group,General surgery,3
30/09/2017,RFF,5,Specialty Registrar,Surgical group,Otolaryngology,2
30/09/2017,RFF,5,Specialty Registrar,Surgical group,Trauma and orthopaedic surgery,3
30/09/2017,RFF,6,Core Training,Anaesthetics,Anaesthetics,4
30/09/2017,RFF,6,Core Training,Emergency Medicine,Emergency Medicine,5
30/09/2017,RFF,6,Core Training,General medicine group,Cardiology,3
30/09/2017,RFF,6,Core Training,General medicine group,Endocrinology and diabetes mellitus,2
30/09/2017,RFF,6,Core Training,General medicine group,Gastroenterology,4
30/09/2017,RFF,6,Core Training,General medicine group,General (internal) medicine,5
30/09/2017,RFF,6,Core Training,General medicine group,Geriatric medicine,2
30/09/2017,RFF,6,Core Training,General medicine group,Respiratory medicine,4
30/09/2017,RFF,6,Core Training,Obstetrics & gynaecology,Obstetrics and Gynaecology,1
30/09/2017,RFF,6,Core Training,Pathology group,Haematology,1
30/09/2017,RWX,1,Consultant (including Directors of Public Health),Psychiatry group,General psychiatry,30.95
30/09/2017,RWX,1,Consultant (including Directors of Public Health),Psychiatry group,Old age psychiatry,15.75
30/09/2017,RWX,1,Consultant (including Directors of Public Health),Psychiatry group,Psychiatry of learning disability,5.7
30/09/2017,RWX,1,Consultant (including Directors of Public Health),Psychiatry group,Psychotherapy,1.1
30/09/2017,RWX,2,Associate Specialist,General medicine group,Genito-urinary medicine,1
30/09/2017,RWX,2,Associate Specialist,Paediatric group,Paediatrics,0.5
30/09/2017,RWX,2,Associate Specialist,Psychiatry group,General psychiatry,2.5
30/09/2017,RWX,2,Associate Specialist,Psychiatry group,Old age psychiatry,0.3
30/09/2017,RWX,2,Associate Specialist,Psychiatry group,Psychotherapy,1
30/09/2017,RWX,3,Specialty Doctor,General medicine group,Genito-urinary medicine,1.8
30/09/2017,RWX,3,Specialty Doctor,General medicine group,Geriatric medicine,4
30/09/2017,RWX,3,Specialty Doctor,Psychiatry group,General psychiatry,18.5
30/09/2017,RWX,3,Specialty Doctor,Psychiatry group,Old age psychiatry,1.5
30/09/2017,RWX,3,Specialty Doctor,Psychiatry group,Psychiatry of learning disability,2
30/09/2017,RWX,4,Staff Grade,Psychiatry group,Child and adolescent psychiatry,0.15
30/09/2017,RWX,5,Specialty Registrar,General medicine group,Genito-urinary medicine,0.6
30/09/2017,RFF,6,Core Training,Surgical group,General surgery,4
30/09/2017,RFF,6,Core Training,Surgical group,Otolaryngology,2
30/09/2017,RFF,6,Core Training,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RFF,6,Core Training,Surgical group,Urology,2
30/09/2017,RFF,7,Foundation Doctor Year 2,Emergency Medicine,Emergency Medicine,3
30/09/2017,RFF,7,Foundation Doctor Year 2,General medicine group,General Practice (GP) 6 month Training,3
30/09/2017,RFF,7,Foundation Doctor Year 2,General medicine group,Geriatric medicine,4
30/09/2017,RFF,7,Foundation Doctor Year 2,General medicine group,Respiratory medicine,1
30/09/2017,RFF,7,Foundation Doctor Year 2,General medicine group,Rheumatology,1
30/09/2017,RFF,7,Foundation Doctor Year 2,Obstetrics & gynaecology,Obstetrics and Gynaecology,2
30/09/2017,RFF,7,Foundation Doctor Year 2,Paediatric group,Paediatrics,1
30/09/2017,RFF,7,Foundation Doctor Year 2,Pathology group,Histopathology,1
30/09/2017,RFF,7,Foundation Doctor Year 2,Psychiatry group,General psychiatry,1
30/09/2017,RFF,7,Foundation Doctor Year 2,Surgical group,General surgery,2
30/09/2017,RFF,7,Foundation Doctor Year 2,Surgical group,Otolaryngology,1
30/09/2017,RFF,7,Foundation Doctor Year 2,Surgical group,Trauma and orthopaedic surgery,2
30/09/2017,RWX,5,Specialty Registrar,Psychiatry group,General psychiatry,2.6
30/09/2017,RWX,6,Core Training,Psychiatry group,General psychiatry,22.1125
30/09/2017,RWX,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,1
30/09/2017,RWX,8,Foundation Doctor Year 1,Surgical group,Trauma and orthopaedic surgery,5
30/09/2017,RWX,9,Hospital Practitioner / Clinical Assistant,General medicine group,Endocrinology and diabetes mellitus,0.18182
30/09/2017,RWX,9,Hospital Practitioner / Clinical Assistant,General medicine group,General (internal) medicine,1.09091
30/09/2017,RWX,9,Hospital Practitioner / Clinical Assistant,General medicine group,General Med Practitioner,10.92841
30/09/2017,RWX,10,Other and Local HCHS Doctor Grades,PHM & CHS group,Community Health Service Dental,12.26667
30/09/2017,RWX,10,Other and Local HCHS Doctor Grades,Psychiatry group,General psychiatry,1
30/09/2017,RXQ,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,38.88545
30/09/2017,RXQ,1,Consultant (including Directors of Public Health),Clinical oncology,Clinical oncology,3.25
30/09/2017,RXQ,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,2.7
30/09/2017,RXQ,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,9.475
30/09/2017,RXQ,1,Consultant (including Directors of Public Health),General medicine group,Cardiology,5.93409
30/09/2017,RXQ,1,Consultant (including Directors of Public Health),General medicine group,Dermatology,4.44318
30/09/2017,RFF,8,Foundation Doctor Year 1,Emergency Medicine,Emergency Medicine,1
30/09/2017,RFF,8,Foundation Doctor Year 1,General medicine group,Acute Internal Medicine,2
30/09/2017,RFF,8,Foundation Doctor Year 1,General medicine group,Cardiology,2
30/09/2017,RFF,8,Foundation Doctor Year 1,General medicine group,Endocrinology and diabetes mellitus,1
30/09/2017,RFF,8,Foundation Doctor Year 1,General medicine group,Gastroenterology,1
30/09/2017,RFF,8,Foundation Doctor Year 1,General medicine group,Geriatric medicine,3
30/09/2017,RFF,8,Foundation Doctor Year 1,General medicine group,Palliative medicine,1
30/09/2017,RFF,8,Foundation Doctor Year 1,Paediatric group,Paediatrics,3
30/09/2017,RFF,8,Foundation Doctor Year 1,Psychiatry group,General psychiatry,1
30/09/2017,RFF,8,Foundation Doctor Year 1,Surgical group,General surgery,5
30/09/2017,RFF,8,Foundation Doctor Year 1,Surgical group,Trauma and orthopaedic surgery,1
30/09/2017,RFR,1,Consultant (including Directors of Public Health),Anaesthetics,Anaesthetics,23.811
30/09/2017,RFR,1,Consultant (including Directors of Public Health),Dental group,Oral and maxillo-facial surgery,3.0875
30/09/2017,RFR,1,Consultant (including Directors of Public Health),Dental group,Orthodontics,1.5
30/09/2017,RFR,1,Consultant (including Directors of Public Health),Dental group,Paediatric dentistry,0.6
30/09/2017,RFR,1,Consultant (including Directors of Public Health),Emergency Medicine,Emergency Medicine,7.825
