ORG_CODE,DATE,POPULATION,QUESTION,RATING_SCORE
R1F,06/06/2018,Acute wards for adults of working age and psychiatric intensive care units,Responsive,2
R1F,06/06/2018,Acute wards for adults of working age and psychiatric intensive care units,Well-led,2
R1F,06/06/2018,Acute wards for adults of working age and psychiatric intensive care units,Overall,2
R1F,12/04/2017,Community health inpatient services,Safe,1
R1F,12/04/2017,Community health inpatient services,Effective,1
R1F,12/04/2017,Community health inpatient services,Caring,2
R1F,12/04/2017,Community health inpatient services,Responsive,2
R1F,12/04/2017,Community health inpatient services,Well-led,1
R1F,12/04/2017,Community health inpatient services,Overall,1
R1F,06/06/2018,Community health services for adults,Safe,1
R1F,06/06/2018,Community health services for adults,Effective,1
R1F,06/06/2018,Community health services for adults,Caring,2
R1F,06/06/2018,Community health services for adults,Responsive,2
R1F,06/06/2018,Community health services for adults,Well-led,0
R1F,06/06/2018,Community health services for adults,Overall,1
R1F,06/06/2018,"Community health services for children, young people and families",Safe,0
R1F,06/06/2018,"Community health services for children, young people and families",Effective,2
R1F,06/06/2018,"Community health services for children, young people and families",Caring,2
R1F,06/06/2018,"Community health services for children, young people and families",Responsive,2
R1F,06/06/2018,"Community health services for children, young people and families",Well-led,0
R1F,06/06/2018,"Community health services for children, young people and families",Overall,0
R1F,06/06/2018,Community mental health services for people with learning disabilities or autism,Safe,2
R1F,06/06/2018,Community mental health services for people with learning disabilities or autism,Effective,2
R1F,06/06/2018,Community mental health services for people with learning disabilities or autism,Caring,2
R1F,06/06/2018,Community mental health services for people with learning disabilities or autism,Responsive,2
R1F,06/06/2018,Community mental health services for people with learning disabilities or autism,Well-led,1
R1F,06/06/2018,Community mental health services for people with learning disabilities or autism,Overall,2
R1F,06/06/2018,Community-based mental health services for adults of working age,Safe,0
R1F,06/06/2018,Community-based mental health services for adults of working age,Effective,0
R1F,06/06/2018,Community-based mental health services for adults of working age,Caring,2
R1F,06/06/2018,Community-based mental health services for adults of working age,Responsive,0
R1F,06/06/2018,Community-based mental health services for adults of working age,Well-led,0
R1F,06/06/2018,Community-based mental health services for adults of working age,Overall,0
R1F,06/06/2018,Emergency and urgent care,Safe,1
R1F,06/06/2018,Emergency and urgent care,Effective,1
R1F,06/06/2018,Emergency and urgent care,Caring,2
R1F,06/06/2018,Emergency and urgent care,Responsive,1
R1F,06/06/2018,Emergency and urgent care,Well-led,0
R1F,06/06/2018,Emergency and urgent care,Overall,1
R1F,06/06/2018,Emergency operations centre (EOC),Safe,1
R1F,06/06/2018,Emergency operations centre (EOC),Effective,1
R1F,06/06/2018,Emergency operations centre (EOC),Caring,2
R1F,06/06/2018,Emergency operations centre (EOC),Responsive,2
R1F,06/06/2018,Emergency operations centre (EOC),Well-led,0
R1F,06/06/2018,Emergency operations centre (EOC),Overall,1
R1F,06/06/2018,Long stay/rehabilitation mental health wards for working age adults,Safe,1
R1F,06/06/2018,Long stay/rehabilitation mental health wards for working age adults,Effective,1
R1F,06/06/2018,Long stay/rehabilitation mental health wards for working age adults,Caring,2
R1F,06/06/2018,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
R1F,06/06/2018,Long stay/rehabilitation mental health wards for working age adults,Well-led,1
R1F,06/06/2018,Long stay/rehabilitation mental health wards for working age adults,Overall,1
R1F,06/06/2018,Mental health crisis services and health-based places of safety,Safe,0
R1F,06/06/2018,Mental health crisis services and health-based places of safety,Effective,1
R1F,06/06/2018,Mental health crisis services and health-based places of safety,Caring,2
R1F,06/06/2018,Mental health crisis services and health-based places of safety,Responsive,0
R1F,06/06/2018,Mental health crisis services and health-based places of safety,Well-led,0
R1F,06/06/2018,Mental health crisis services and health-based places of safety,Overall,0
R1F,06/06/2018,Overall,Safe,0
R1F,06/06/2018,Overall,Effective,1
R1F,06/06/2018,Overall,Caring,2
R1F,06/06/2018,Overall,Responsive,1
R1F,06/06/2018,Overall,Well-led,0
R1F,06/06/2018,Overall,Overall,0
R1F,06/06/2018,Patient transport services,Safe,1
R1F,06/06/2018,Patient transport services,Effective,1
R1F,06/06/2018,Patient transport services,Caring,3
R1F,06/06/2018,Patient transport services,Responsive,2
R1F,06/06/2018,Patient transport services,Well-led,1
R1F,06/06/2018,Patient transport services,Overall,1
R1F,06/06/2018,Specialist community mental health services for children and young people,Safe,2
R1F,06/06/2018,Specialist community mental health services for children and young people,Effective,2
R1F,06/06/2018,Specialist community mental health services for children and young people,Caring,2
R1F,06/06/2018,Specialist community mental health services for children and young people,Responsive,1
R1F,06/06/2018,Specialist community mental health services for children and young people,Well-led,2
R1F,06/06/2018,Specialist community mental health services for children and young people,Overall,2
R1F,12/04/2017,Substance Misuse,Safe,2
R1F,12/04/2017,Substance Misuse,Effective,2
R1F,12/04/2017,Substance Misuse,Caring,2
R1F,12/04/2017,Substance Misuse,Responsive,2
R1F,12/04/2017,Substance Misuse,Well-led,2
R1F,12/04/2017,Substance Misuse,Overall,2
R1F,06/06/2018,Wards for older people with mental health problems,Safe,0
R1F,06/06/2018,Wards for older people with mental health problems,Effective,1
R1F,06/06/2018,Wards for older people with mental health problems,Caring,1
R1F,06/06/2018,Wards for older people with mental health problems,Responsive,1
R1F,06/06/2018,Wards for older people with mental health problems,Well-led,0
R1F,06/06/2018,Wards for older people with mental health problems,Overall,0
R1H,10/11/2017,Overall,Safe,1
R1H,10/11/2017,Overall,Effective,1
R1H,10/11/2017,Overall,Caring,1
R1H,10/11/2017,Overall,Responsive,1
R1H,10/11/2017,Overall,Well-led,1
R1H,10/11/2017,Overall,Overall,1
R1J,22/09/2015,Community dental services,Safe,2
R1J,22/09/2015,Community dental services,Effective,2
R1J,22/09/2015,Community dental services,Caring,2
R1J,22/09/2015,Community dental services,Responsive,1
R1J,22/09/2015,Community dental services,Well-led,2
R1J,22/09/2015,Community dental services,Overall,2
R1J,19/04/2018,Community end of life care,Safe,2
R1J,19/04/2018,Community end of life care,Effective,1
R1J,19/04/2018,Community end of life care,Caring,2
R1J,19/04/2018,Community end of life care,Responsive,2
R1J,19/04/2018,Community end of life care,Well-led,2
R1J,19/04/2018,Community end of life care,Overall,2
R1J,22/09/2015,Community health (sexual health services),Safe,2
R1J,22/09/2015,Community health (sexual health services),Caring,2
R1J,22/09/2015,Community health (sexual health services),Responsive,1
R1J,22/09/2015,Community health (sexual health services),Well-led,2
R1J,22/09/2015,Community health (sexual health services),Overall,2
R1J,19/04/2018,Community health inpatient services,Safe,1
R1J,22/09/2015,Community health inpatient services,Effective,2
R1J,22/09/2015,Community health inpatient services,Caring,3
R1J,22/09/2015,Community health inpatient services,Responsive,2
R1J,22/09/2015,Community health inpatient services,Well-led,2
R1J,19/04/2018,Community health inpatient services,Overall,1
R1J,19/04/2018,Community health services for adults,Safe,2
R1J,19/04/2018,Community health services for adults,Effective,2
R1J,19/04/2018,Community health services for adults,Caring,2
R1J,19/04/2018,Community health services for adults,Responsive,2
R1J,19/04/2018,Community health services for adults,Well-led,2
R1J,19/04/2018,Community health services for adults,Overall,2
R1J,22/09/2015,"Community health services for children, young people and families",Safe,2
R1J,22/09/2015,"Community health services for children, young people and families",Effective,2
R1J,22/09/2015,"Community health services for children, young people and families",Caring,2
R1J,22/09/2015,"Community health services for children, young people and families",Responsive,2
R1J,22/09/2015,"Community health services for children, young people and families",Well-led,2
R1J,22/09/2015,"Community health services for children, young people and families",Overall,2
R1J,22/09/2015,End of life care,Safe,2
R1J,22/09/2015,End of life care,Effective,1
R1J,22/09/2015,End of life care,Caring,2
R1J,22/09/2015,End of life care,Responsive,1
R1J,22/09/2015,End of life care,Well-led,1
R1J,22/09/2015,End of life care,Overall,1
R1J,19/04/2018,Overall,Safe,2
R1J,19/04/2018,Overall,Effective,2
R1J,19/04/2018,Overall,Caring,2
R1J,19/04/2018,Overall,Responsive,1
R1J,19/04/2018,Overall,Well-led,2
R1J,19/04/2018,Overall,Overall,2
R1J,19/04/2018,Urgent care services,Safe,2
R1J,19/04/2018,Urgent care services,Effective,2
R1J,19/04/2018,Urgent care services,Caring,2
R1J,19/04/2018,Urgent care services,Responsive,2
R1J,19/04/2018,Urgent care services,Well-led,2
R1J,19/04/2018,Urgent care services,Overall,2
R1K,31/08/2018,Community dental services,Safe,2
R1K,31/08/2018,Community dental services,Effective,2
R1K,31/08/2018,Community dental services,Caring,2
R1K,31/08/2018,Community dental services,Responsive,2
R1K,31/08/2018,Community dental services,Well-led,2
R1K,31/08/2018,Community dental services,Overall,2
R1K,31/08/2018,Community health inpatient services,Safe,1
R1K,31/08/2018,Community health inpatient services,Effective,2
R1K,31/08/2018,Community health inpatient services,Caring,2
R1K,31/08/2018,Community health inpatient services,Responsive,2
R1K,31/08/2018,Community health inpatient services,Well-led,2
R1K,31/08/2018,Community health inpatient services,Overall,2
R1K,21/06/2016,Community health services for adults,Safe,2
R1K,21/06/2016,Community health services for adults,Effective,2
R1K,21/06/2016,Community health services for adults,Caring,2
R1K,21/06/2016,Community health services for adults,Responsive,2
R1K,21/06/2016,Community health services for adults,Well-led,1
R1K,21/06/2016,Community health services for adults,Overall,2
R1K,21/06/2016,"Community health services for children, young people and families",Safe,1
R1K,21/06/2016,"Community health services for children, young people and families",Effective,2
R1K,21/06/2016,"Community health services for children, young people and families",Caring,2
R1K,21/06/2016,"Community health services for children, young people and families",Responsive,2
R1K,21/06/2016,"Community health services for children, young people and families",Well-led,2
R1K,21/06/2016,"Community health services for children, young people and families",Overall,2
R1K,21/06/2016,End of life care,Safe,2
R1K,21/06/2016,End of life care,Effective,1
R1K,21/06/2016,End of life care,Caring,2
R1K,21/06/2016,End of life care,Responsive,2
R1K,21/06/2016,End of life care,Well-led,2
R1K,21/06/2016,End of life care,Overall,2
R1K,31/08/2018,Overall,Safe,1
R1K,31/08/2018,Overall,Effective,1
R1K,31/08/2018,Overall,Caring,2
R1K,31/08/2018,Overall,Responsive,1
R1K,31/08/2018,Overall,Well-led,1
R1K,31/08/2018,Overall,Overall,1
R1L,26/07/2018,Acute wards for adults of working age and psychiatric intensive care units,Safe,1
R1L,26/07/2018,Acute wards for adults of working age and psychiatric intensive care units,Effective,2
R1L,26/07/2018,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
R1L,26/07/2018,Acute wards for adults of working age and psychiatric intensive care units,Responsive,1
R1L,26/07/2018,Acute wards for adults of working age and psychiatric intensive care units,Well-led,2
R1L,26/07/2018,Acute wards for adults of working age and psychiatric intensive care units,Overall,1
R1L,26/07/2018,Child and adolescent mental health wards,Safe,1
R1L,26/07/2018,Child and adolescent mental health wards,Effective,2
R1L,26/07/2018,Child and adolescent mental health wards,Caring,2
R1L,26/07/2018,Child and adolescent mental health wards,Responsive,2
R1L,26/07/2018,Child and adolescent mental health wards,Well-led,2
R1L,26/07/2018,Child and adolescent mental health wards,Overall,2
R1L,26/07/2018,Community end of life care,Safe,2
R1L,26/07/2018,Community end of life care,Effective,1
R1L,26/07/2018,Community end of life care,Caring,1
R1L,26/07/2018,Community end of life care,Responsive,2
R1L,26/07/2018,Community end of life care,Well-led,1
R1L,26/07/2018,Community end of life care,Overall,1
R1L,26/07/2018,Community health inpatient services,Safe,2
R1L,26/07/2018,Community health inpatient services,Effective,2
R1L,26/07/2018,Community health inpatient services,Caring,2
R1L,26/07/2018,Community health inpatient services,Responsive,2
R1L,26/07/2018,Community health inpatient services,Well-led,2
R1L,26/07/2018,Community health inpatient services,Overall,2
R1L,26/07/2018,Community health services for adults,Safe,2
R1L,26/07/2018,Community health services for adults,Effective,2
R1L,26/07/2018,Community health services for adults,Caring,2
R1L,26/07/2018,Community health services for adults,Responsive,2
R1L,26/07/2018,Community health services for adults,Well-led,2
R1L,26/07/2018,Community health services for adults,Overall,2
R1L,26/07/2018,"Community health services for children, young people and families",Safe,2
R1L,26/07/2018,"Community health services for children, young people and families",Effective,2
R1L,26/07/2018,"Community health services for children, young people and families",Caring,3
R1L,26/07/2018,"Community health services for children, young people and families",Responsive,2
R1L,26/07/2018,"Community health services for children, young people and families",Well-led,2
R1L,26/07/2018,"Community health services for children, young people and families",Overall,2
R1L,26/07/2018,Community mental health services for people with learning disabilities or autism,Safe,2
R1L,26/07/2018,Community mental health services for people with learning disabilities or autism,Effective,2
R1L,26/07/2018,Community mental health services for people with learning disabilities or autism,Caring,3
R1L,26/07/2018,Community mental health services for people with learning disabilities or autism,Responsive,2
R1L,26/07/2018,Community mental health services for people with learning disabilities or autism,Well-led,2
R1L,26/07/2018,Community mental health services for people with learning disabilities or autism,Overall,2
R1L,26/07/2018,Community-based mental health services for adults of working age,Safe,2
R1L,26/07/2018,Community-based mental health services for adults of working age,Effective,2
R1L,26/07/2018,Community-based mental health services for adults of working age,Caring,2
R1L,26/07/2018,Community-based mental health services for adults of working age,Responsive,2
R1L,26/07/2018,Community-based mental health services for adults of working age,Well-led,2
R1L,26/07/2018,Community-based mental health services for adults of working age,Overall,2
R1L,26/07/2018,Community-based mental health services for older people,Safe,1
R1L,26/07/2018,Community-based mental health services for older people,Effective,2
R1L,26/07/2018,Community-based mental health services for older people,Caring,2
R1L,26/07/2018,Community-based mental health services for older people,Responsive,2
R1L,26/07/2018,Community-based mental health services for older people,Well-led,2
R1L,26/07/2018,Community-based mental health services for older people,Overall,2
R1L,26/07/2018,Forensic inpatient/secure wards,Safe,1
R1L,26/07/2018,Forensic inpatient/secure wards,Effective,2
R1L,26/07/2018,Forensic inpatient/secure wards,Caring,2
R1L,26/07/2018,Forensic inpatient/secure wards,Responsive,2
R1L,26/07/2018,Forensic inpatient/secure wards,Well-led,2
R1L,26/07/2018,Forensic inpatient/secure wards,Overall,2
R1L,26/07/2018,Long stay/rehabilitation mental health wards for working age adults,Safe,1
R1L,26/07/2018,Long stay/rehabilitation mental health wards for working age adults,Effective,2
R1L,26/07/2018,Long stay/rehabilitation mental health wards for working age adults,Caring,2
R1L,26/07/2018,Long stay/rehabilitation mental health wards for working age adults,Responsive,2
R1L,26/07/2018,Long stay/rehabilitation mental health wards for working age adults,Well-led,1
R1L,26/07/2018,Long stay/rehabilitation mental health wards for working age adults,Overall,1
R1L,26/07/2018,Mental health crisis services and health-based places of safety,Safe,1
R1L,26/07/2018,Mental health crisis services and health-based places of safety,Effective,2
R1L,26/07/2018,Mental health crisis services and health-based places of safety,Caring,2
R1L,26/07/2018,Mental health crisis services and health-based places of safety,Responsive,2
R1L,26/07/2018,Mental health crisis services and health-based places of safety,Well-led,2
R1L,26/07/2018,Mental health crisis services and health-based places of safety,Overall,2
R1L,26/07/2018,Overall,Safe,1
R1L,26/07/2018,Overall,Effective,2
R1L,26/07/2018,Overall,Caring,2
R1L,26/07/2018,Overall,Responsive,2
R1L,26/07/2018,Overall,Well-led,2
R1L,26/07/2018,Overall,Overall,2
R1L,26/07/2018,Substance Misuse,Safe,1
R1L,26/07/2018,Substance Misuse,Effective,1
R1L,26/07/2018,Substance Misuse,Caring,2
R1L,26/07/2018,Substance Misuse,Responsive,2
R1L,26/07/2018,Substance Misuse,Well-led,0
R1L,26/07/2018,Substance Misuse,Overall,1
R1L,26/07/2018,Wards for older people with mental health problems,Safe,2
R1L,26/07/2018,Wards for older people with mental health problems,Effective,1
R1L,26/07/2018,Wards for older people with mental health problems,Caring,2
R1L,26/07/2018,Wards for older people with mental health problems,Responsive,2
R1L,26/07/2018,Wards for older people with mental health problems,Well-led,2
R1L,26/07/2018,Wards for older people with mental health problems,Overall,2
R1L,26/07/2018,Wards for people with learning disabilities or autism,Safe,2
R1L,26/07/2018,Wards for people with learning disabilities or autism,Effective,2
R1L,26/07/2018,Wards for people with learning disabilities or autism,Caring,2
R1L,26/07/2018,Wards for people with learning disabilities or autism,Responsive,2
R1L,26/07/2018,Wards for people with learning disabilities or autism,Well-led,2
R1L,26/07/2018,Wards for people with learning disabilities or autism,Overall,2
RA2,18/12/2013,End of life care,Safe,2
RA2,18/12/2013,End of life care,Effective,2
RA2,18/12/2013,End of life care,Caring,2
RA2,18/12/2013,End of life care,Responsive,2
RA2,18/12/2013,End of life care,Well-led,2
RA2,18/12/2013,Intensive/critical care,Safe,2
RA2,18/12/2013,Intensive/critical care,Effective,2
RA2,18/12/2013,Intensive/critical care,Caring,2
RA2,18/12/2013,Intensive/critical care,Responsive,2
RA2,18/12/2013,Intensive/critical care,Well-led,2
RA2,18/12/2013,Maternity and gynaecology,Safe,2
RA2,18/12/2013,Maternity and gynaecology,Effective,2
RA2,18/12/2013,Maternity and gynaecology,Caring,3
RA2,18/12/2013,Maternity and gynaecology,Responsive,2
RA2,18/12/2013,Maternity and gynaecology,Well-led,3
RA2,18/12/2013,Medical care (Including older people's care),Safe,1
RA2,18/12/2013,Medical care (Including older people's care),Effective,2
RA2,18/12/2013,Medical care (Including older people's care),Caring,2
RA2,18/12/2013,Medical care (Including older people's care),Responsive,2
RA2,18/12/2013,Medical care (Including older people's care),Well-led,2
RA2,18/12/2013,Outpatients and diagnostic imaging,Safe,2
RA2,18/12/2013,Outpatients and diagnostic imaging,Caring,2
RA2,18/12/2013,Outpatients and diagnostic imaging,Responsive,1
RA2,18/12/2013,Outpatients and diagnostic imaging,Well-led,1
RA2,25/05/2018,Overall,Safe,2
RA2,25/05/2018,Overall,Effective,2
RA2,25/05/2018,Overall,Caring,2
RA2,25/05/2018,Overall,Responsive,3
RA2,25/05/2018,Overall,Well-led,2
RA2,25/05/2018,Overall,Overall,2
RA2,18/12/2013,Services for children & young people,Safe,2
RA2,18/12/2013,Services for children & young people,Effective,2
RA2,18/12/2013,Services for children & young people,Caring,2
RA2,18/12/2013,Services for children & young people,Responsive,3
RA2,18/12/2013,Services for children & young people,Well-led,2
RA2,18/12/2013,Surgery,Safe,2
RA2,18/12/2013,Surgery,Effective,2
RA2,18/12/2013,Surgery,Caring,2
RA2,18/12/2013,Surgery,Responsive,2
RA2,18/12/2013,Surgery,Well-led,2
RA2,18/12/2013,Urgent care centre,Safe,2
RA2,18/12/2013,Urgent care centre,Caring,2
RA2,18/12/2013,Urgent care centre,Responsive,2
RA2,18/12/2013,Urgent care centre,Well-led,2
RA3,26/08/2015,"Community health services for children, young people and families",Safe,2
RA3,26/08/2015,"Community health services for children, young people and families",Effective,2
RA3,26/08/2015,"Community health services for children, young people and families",Caring,2
RA3,26/08/2015,"Community health services for children, young people and families",Responsive,1
RA3,26/08/2015,"Community health services for children, young people and families",Well-led,2
RA3,26/08/2015,"Community health services for children, young people and families",Overall,2
RA3,14/06/2017,Overall,Safe,1
RA3,14/06/2017,Overall,Effective,1
RA3,14/06/2017,Overall,Caring,2
RA3,14/06/2017,Overall,Responsive,0
RA3,14/06/2017,Overall,Well-led,1
RA3,14/06/2017,Overall,Overall,1
RA3,26/08/2015,Specialist community mental health services for children and young people,Safe,2
RA3,26/08/2015,Specialist community mental health services for children and young people,Effective,3
RA3,26/08/2015,Specialist community mental health services for children and young people,Caring,3
RA3,26/08/2015,Specialist community mental health services for children and young people,Responsive,2
RA3,26/08/2015,Specialist community mental health services for children and young people,Well-led,2
RA3,26/08/2015,Specialist community mental health services for children and young people,Overall,3
RA4,27/07/2016,Overall,Safe,1
RA4,27/07/2016,Overall,Effective,1
RA4,27/07/2016,Overall,Caring,2
RA4,27/07/2016,Overall,Responsive,1
RA4,27/07/2016,Overall,Well-led,1
RA4,27/07/2016,Overall,Overall,1
RA7,02/03/2017,Overall,Safe,2
RA7,02/03/2017,Overall,Effective,3
RA7,02/03/2017,Overall,Caring,2
RA7,02/03/2017,Overall,Responsive,1
RA7,02/03/2017,Overall,Well-led,3
RA7,02/03/2017,Overall,Overall,3
RA9,07/06/2016,Community dental services,Safe,2
RA9,07/06/2016,Community dental services,Effective,2
RA9,07/06/2016,Community dental services,Caring,3
RA9,07/06/2016,Community dental services,Responsive,3
RA9,07/06/2016,Community dental services,Well-led,2
RA9,07/06/2016,Community dental services,Overall,3
RA9,17/05/2018,Community end of life care,Safe,1
RA9,17/05/2018,Community end of life care,Effective,1
RA9,17/05/2018,Community end of life care,Caring,2
RA9,17/05/2018,Community end of life care,Responsive,2
RA9,17/05/2018,Community end of life care,Well-led,1
RA9,17/05/2018,Community end of life care,Overall,1
RA9,07/06/2016,Community health inpatient services,Safe,1
RA9,07/06/2016,Community health inpatient services,Effective,2
RA9,07/06/2016,Community health inpatient services,Caring,2
RA9,07/06/2016,Community health inpatient services,Responsive,2
RA9,07/06/2016,Community health inpatient services,Well-led,1
RA9,07/06/2016,Community health inpatient services,Overall,1
RA9,07/06/2016,Community health services for adults,Safe,2
RA9,07/06/2016,Community health services for adults,Effective,3
RA9,07/06/2016,Community health services for adults,Caring,2
RA9,07/06/2016,Community health services for adults,Responsive,2
RA9,07/06/2016,Community health services for adults,Well-led,3
RA9,07/06/2016,Community health services for adults,Overall,3
RA9,17/05/2018,"Community health services for children, young people and families",Safe,2
RA9,17/05/2018,"Community health services for children, young people and families",Effective,2
RA9,17/05/2018,"Community health services for children, young people and families",Caring,2
RA9,17/05/2018,"Community health services for children, young people and families",Responsive,2
RA9,17/05/2018,"Community health services for children, young people and families",Well-led,2
RA9,17/05/2018,"Community health services for children, young people and families",Overall,2
RA9,07/06/2016,End of life care,Safe,1
RA9,07/06/2016,End of life care,Effective,1
RA9,07/06/2016,End of life care,Caring,2
RA9,07/06/2016,End of life care,Responsive,2
RA9,07/06/2016,End of life care,Well-led,1
RA9,07/06/2016,End of life care,Overall,1
RA9,07/06/2016,Other specialist services,Safe,2
RA9,07/06/2016,Other specialist services,Effective,2
RA9,07/06/2016,Other specialist services,Caring,3
RA9,07/06/2016,Other specialist services,Responsive,3
RA9,07/06/2016,Other specialist services,Well-led,2
RA9,07/06/2016,Other specialist services,Overall,3
RA9,17/05/2018,Overall,Safe,1
RA9,17/05/2018,Overall,Effective,2
RA9,17/05/2018,Overall,Caring,3
RA9,17/05/2018,Overall,Responsive,2
RA9,17/05/2018,Overall,Well-led,2
RA9,17/05/2018,Overall,Overall,2
RA9,07/06/2016,Specialist community mental health services for children and young people,Safe,1
RA9,07/06/2016,Specialist community mental health services for children and young people,Effective,2
RA9,07/06/2016,Specialist community mental health services for children and young people,Caring,2
RA9,07/06/2016,Specialist community mental health services for children and young people,Responsive,2
RA9,07/06/2016,Specialist community mental health services for children and young people,Well-led,2
RA9,07/06/2016,Specialist community mental health services for children and young people,Overall,2
RA9,07/06/2016,Urgent care services,Safe,2
RA9,07/06/2016,Urgent care services,Effective,2
RA9,07/06/2016,Urgent care services,Caring,3
RA9,07/06/2016,Urgent care services,Responsive,2
RA9,07/06/2016,Urgent care services,Well-led,2
RA9,07/06/2016,Urgent care services,Overall,2
RAE,24/06/2016,Community health inpatient services,Safe,2
RAE,24/06/2016,Community health inpatient services,Effective,2
RAE,27/04/2015,Community health inpatient services,Caring,2
RAE,27/04/2015,Community health inpatient services,Responsive,2
RAE,24/06/2016,Community health inpatient services,Well-led,2
RAE,24/06/2016,Community health inpatient services,Overall,2
RAE,15/06/2018,Overall,Safe,1
RAE,15/06/2018,Overall,Effective,1
RAE,15/06/2018,Overall,Caring,2
RAE,15/06/2018,Overall,Responsive,1
RAE,15/06/2018,Overall,Well-led,2
RAE,15/06/2018,Overall,Overall,1
RAJ,24/04/2018,Overall,Safe,1
RAJ,24/04/2018,Overall,Effective,2
RAJ,24/04/2018,Overall,Caring,2
RAJ,24/04/2018,Overall,Responsive,1
RAJ,24/04/2018,Overall,Well-led,2
RAJ,24/04/2018,Overall,Overall,1
RAL,15/08/2016,Overall,Safe,1
RAL,15/08/2016,Overall,Effective,2
RAL,15/08/2016,Overall,Caring,2
RAL,15/08/2016,Overall,Responsive,2
RAL,15/08/2016,Overall,Well-led,2
RAL,15/08/2016,Overall,Overall,2
RAL,15/08/2016,Specialist community mental health services for children and young people,Safe,1
RAL,15/08/2016,Specialist community mental health services for children and young people,Effective,2
RAL,15/08/2016,Specialist community mental health services for children and young people,Caring,2
RAL,15/08/2016,Specialist community mental health services for children and young people,Responsive,1
RAL,15/08/2016,Specialist community mental health services for children and young people,Well-led,2
RAL,15/08/2016,Specialist community mental health services for children and young people,Overall,1
RAN,15/08/2014,Overall,Safe,1
RAN,15/08/2014,Overall,Effective,3
RAN,15/08/2014,Overall,Caring,3
RAN,15/08/2014,Overall,Responsive,1
RAN,15/08/2014,Overall,Well-led,1
RAN,15/08/2014,Overall,Overall,1
RAP,16/12/2016,Overall,Safe,1
RAP,16/12/2016,Overall,Effective,1
RAP,16/12/2016,Overall,Caring,1
RAP,16/12/2016,Overall,Responsive,1
RAP,16/12/2016,Overall,Well-led,1
RAP,16/12/2016,Overall,Overall,1
RAS,24/07/2018,Overall,Safe,0
RAS,24/07/2018,Overall,Effective,1
RAS,24/07/2018,Overall,Caring,2
RAS,24/07/2018,Overall,Responsive,1
RAS,24/07/2018,Overall,Well-led,1
RAS,24/07/2018,Overall,Overall,1
RAT,13/11/2017,Acute wards for adults of working age and psychiatric intensive care units,Safe,1
RAT,13/11/2017,Acute wards for adults of working age and psychiatric intensive care units,Effective,2
RAT,13/11/2017,Acute wards for adults of working age and psychiatric intensive care units,Caring,2
RAT,13/11/2017,Acute wards for adults of working age and psychiatric intensive care units,Responsive,1
RAT,13/11/2017,Acute wards for adults of working age and psychiatric intensive care units,Well-led,1
RAT,13/11/2017,Acute wards for adults of working age and psychiatric intensive care units,Overall,1
RAT,14/11/2017,Child and adolescent mental health wards,Safe,2
RAT,14/11/2017,Child and adolescent mental health wards,Effective,2
RAT,14/11/2017,Child and adolescent mental health wards,Caring,3
RAT,14/11/2017,Child and adolescent mental health wards,Responsive,2
RAT,14/11/2017,Child and adolescent mental health wards,Well-led,3
RAT,14/11/2017,Child and adolescent mental health wards,Overall,3
RAT,27/09/2016,Community health inpatient services,Safe,1
RAT,27/09/2016,Community health inpatient services,Effective,2
RAT,27/09/2016,Community health inpatient services,Caring,2
RAT,27/09/2016,Community health inpatient services,Responsive,2
RAT,27/09/2016,Community health inpatient services,Well-led,2
RAT,27/09/2016,Community health inpatient services,Overall,2
RAT,09/01/2018,Community health services for adults,Safe,1
RAT,09/01/2018,Community health services for adults,Effective,2
RAT,09/01/2018,Community health services for adults,Caring,2
RAT,09/01/2018,Community health services for adults,Responsive,2
RAT,09/01/2018,Community health services for adults,Well-led,2
RAT,09/01/2018,Community health services for adults,Overall,2
RAT,09/01/2018,"Community health services for children, young people and families",Safe,2
RAT,09/01/2018,"Community health services for children, young people and families",Effective,2
RAT,09/01/2018,"Community health services for children, young people and families",Caring,2
RAT,09/01/2018,"Community health services for children, young people and families",Responsive,2
RAT,09/01/2018,"Community health services for children, young people and families",Well-led,2
RAT,09/01/2018,"Community health services for children, young people and families",Overall,2
RAT,27/09/2016,Community mental health services for people with learning disabilities or autism,Safe,1
RAT,27/09/2016,Community mental health services for people with learning disabilities or autism,Effective,2
RAT,27/09/2016,Community mental health services for people with learning disabilities or autism,Caring,2
RAT,27/09/2016,Community mental health services for people with learning disabilities or autism,Responsive,2
RAT,27/09/2016,Community mental health services for people with learning disabilities or autism,Well-led,2
RAT,27/09/2016,Community mental health services for people with learning disabilities or autism,Overall,2
RAT,27/09/2016,Community-based mental health services for adults of working age,Safe,1
RAT,27/09/2016,Community-based mental health services for adults of working age,Effective,2
RAT,27/09/2016,Community-based mental health services for adults of working age,Caring,2
RAT,27/09/2016,Community-based mental health services for adults of working age,Responsive,2
RAT,27/09/2016,Community-based mental health services for adults of working age,Well-led,2
RAT,27/09/2016,Community-based mental health services for adults of working age,Overall,2
RAT,27/09/2016,Community-based mental health services for older people,Safe,1
RAT,27/09/2016,Community-based mental health services for older people,Effective,2
RAT,27/09/2016,Community-based mental health services for older people,Caring,2
RAT,27/09/2016,Community-based mental health services for older people,Responsive,2
RAT,27/09/2016,Community-based mental health services for older people,Well-led,2
RAT,27/09/2016,Community-based mental health services for older people,Overall,2
